"County","ARIMA","HW","Time_Period"
"Albany",4.81861228266449e-05,-0.200222491522716,1
"Albany",6.03347872464074e-05,-0.284010449829943,2
"Albany",-0.0629960059513107,-0.19172025633568,3
"Albany",0.186567405322096,-0.423125811563442,4
"Albany",-0.0347140508778852,0.334682064735741,5
"Albany",-0.0345393540366143,0.686748596354605,6
"Albany",-0.0347269249590897,-0.0872349511776749,7
"Albany",0.116996683179729,0.75337786313258,8
"Albany",1.16675038176007,1.27918090267168,9
"Albany",1.30582445449685,2.76401982295751,10
"Albany",1.24157134940163,5.44653114104453,11
"Albany",6.42351695916666,8.30413450417606,12
"Albany",8.02596299081058,8.86331873968009,13
"Albany",11.0942369639119,10.0457823799191,14
"Albany",28.6626270770187,17.7656530545292,15
"Albany",25.1015915239858,7.61368953812703,16
"Albany",27.8316569308218,8.93760472206873,17
"Albany",27.639686418215,4.04901045862427,18
"Albany",32.0349389541361,8.64693756323322,19
"Albany",30.0790707927634,5.52280042523081,20
"Albany",26.8234995143371,6.61422046738323,21
"Albany",17.6564959709855,9.34466450615479,22
"Albany",7.11263228824196,6.4307254382225,23
"Albany",8.58957034592863,6.19607411599089,24
"Albany",5.74773097742739,7.10683657075722,25
"Albany",6.86446347103906,0.210012960959753,26
"Albany",6.20131779181848,-2.84032990348368,27
"Albany",5.54709086665015,-5.01469374722195,28
"Albany",2.57690273403644,-4.33121277747198,29
"Albany",4.59000845217719,-0.955270630949827,30
"Albany",3.73729490528006,-1.57307489613058,31
"Albany",1.96366622202599,-0.120121584340713,32
"Albany",0.724204984333347,0.149862513076438,33
"Albany",4.77224308763624e-05,1.61750470125025,34
"Albany",4.77215233938844e-05,2.35283555255044,35
"Albany",4.77254544661512e-05,2.48365055548839,36
"Albany",4.77248891660063e-05,2.47021875415292,37
"Albany",4.77298125207355e-05,2.40224653026307,38
"Albany",4.77264074788122e-05,2.28793480874812,39
"Albany",4.77303171114323e-05,2.13888857497285,40
"Albany",4.77131154915525e-05,1.96606662437013,41
"Albany",4.77094122353639e-05,1.79213068234952,42
"Albany",4.76824141465895e-05,1.64459070973588,43
"Albany",4.76801954409014e-05,1.55207303886205,44
"Albany",4.76424210334783e-05,1.47996734570678,45
"Albany",4.77142716299339e-05,1.38065978149292,46
"Albany",4.77467738966658e-05,1.28192979479586,47
"Albany",4.78742174955853e-05,1.10940251523397,48
"Albany",4.79766465327758e-05,0.900364288304987,49
"Albany",4.83285017031343e-05,0.75161645234241,50
"Albany",4.80876196825165e-05,0.616714246413778,51
"Albany",5.57720488586152e-05,0.530201485528903,52
"Albany",5.65692999503007e-05,0.329978994006186,53
"Albany",5.80490917401606e-05,0.246191035698959,54
"Albany",5.79998715852678e-05,0.338481229193223,55
"Albany",5.85779582408581e-05,0.107075673965461,56
"Albany",5.74969569584529e-05,0.864883550264644,57
"Albany",5.74255981830878e-05,1.21695008188351,58
"Albany",5.69845621564765e-05,0.442966534351227,59
"Albany",5.6994687292104e-05,1.28357934866148,60
"Albany",5.67915124288812e-05,1.80938238820058,61
"Allegany",0.727712737910469,-0.183406503904594,1
"Allegany",1.08807768558632,-0.220458993382554,2
"Allegany",1.37888033018625,-0.327200288576551,3
"Allegany",1.57524064317677,-0.422094243480854,4
"Allegany",1.71736183257851,-0.513948964629067,5
"Allegany",2.06255774365804,-0.14320098089984,6
"Allegany",1.88696844241784,-0.788791858843442,7
"Allegany",1.95806134692347,-0.618377836986351,8
"Allegany",2.21284020530365,-0.20741853552048,9
"Allegany",2.00327036062736,-0.392414765099256,10
"Allegany",2.25392466944685,0.250466765883171,11
"Allegany",2.51501954038529,0.505523505792167,12
"Allegany",2.45391298573039,0.425717583589736,13
"Allegany",2.96959928657042,1.45107961830105,14
"Allegany",2.54977696558556,1.66053514613826,15
"Allegany",3.15824575265001,3.6497486529681,16
"Allegany",9.63438292303176,19.6262626341772,17
"Allegany",5.39221217953002,7.52648112261053,18
"Allegany",5.46355147256067,9.1892567811597,19
"Allegany",3.10551544330211,12.1643720116527,20
"Allegany",7.71964285032824,16.1477937744115,21
"Allegany",3.44328270774564,-1.2852891330933,22
"Allegany",3.0716481826271,-2.6070554036222,23
"Allegany",3.97900690357452,4.45354817429071,24
"Allegany",1.73972563737583,3.43797056497723,25
"Allegany",4.62155335936629,3.83708013416003,26
"Allegany",3.65996954349319,2.42984311319031,27
"Allegany",3.525503276361,2.39537289625934,28
"Allegany",3.17586454839569,-1.19718129516345,29
"Allegany",2.36879255158752,-1.86626941587273,30
"Allegany",2.00639549461011,-2.64630286282864,31
"Allegany",2.30154373702227,-1.83302154224517,32
"Allegany",2.22828939658357,-1.16645399098381,33
"Allegany",2.05795422861221,-1.47435255367218,34
"Allegany",2.05795863330433,-1.03145758183294,35
"Allegany",2.05796175314084,-0.665173118940181,36
"Allegany",2.05796396506824,-0.353690811959166,37
"Allegany",2.05796553634143,-0.0815508484728316,38
"Allegany",2.05796665680653,0.161444106435518,39
"Allegany",2.05796746184219,0.3812425245398,40
"Allegany",2.05796804871646,0.581162764408021,41
"Allegany",2.0579684883374,0.763191760855078,42
"Allegany",2.05796883382245,0.928307337088175,43
"Allegany",2.05796912690827,1.07617052297905,44
"Allegany",2.05796940303035,1.20342083155941,45
"Allegany",2.05796969545338,1.303008220566,46
"Allegany",2.05797003991678,1.37079084544,47
"Allegany",2.05797047637568,1.40518517255761,48
"Allegany",2.05797106431389,1.40633392267424,49
"Allegany",2.05797184739027,1.37841520637757,50
"Allegany",2.05797303130808,1.32664737419462,51
"Allegany",2.05797430832901,1.26360752381704,52
