"","Period","County","Date","Incidents","ARIMA","Error_ARIMA","HW","Error_HW"
"5923","2011-2012","Oneida",2012-04-28,4,0,0,0,0
"5924","2011-2012","Onondaga",2012-04-28,7,0,0,0,0
"5925","2011-2012","Ontario",2012-04-28,3,0,0,0,0
"5926","2011-2012","Orange",2012-04-28,3,0,0,0,0
"5927","2011-2012","Orleans",2012-04-28,1,0,0,0,0
"5928","2011-2012","Oswego",2012-04-28,11,0,0,0,0
"5929","2011-2012","Otsego",2012-04-28,1,0,0,0,0
"5930","2011-2012","Putnam",2012-04-28,0,0,0,0,0
"5931","2011-2012","Queens",2012-04-28,28,0,0,0,0
"5932","2011-2012","Rensselaer",2012-04-28,0,0,0,0,0
"5933","2011-2012","Richmond",2012-04-28,4,0,0,0,0
"5934","2011-2012","Rockland",2012-04-28,0,0,0,0,0
"5935","2011-2012","Saratoga",2012-04-28,3,0,0,0,0
"5936","2011-2012","Schenectady",2012-04-28,1,0,0,0,0
"5937","2011-2012","Schoharie",2012-04-28,0,0,0,0,0
"5938","2011-2012","Schuyler",2012-04-28,0,0,0,0,0
"5939","2011-2012","Seneca",2012-04-28,0,0,0,0,0
"5941","2011-2012","Steuben",2012-04-28,0,0,0,0,0
"5940","2011-2012","St lawrence",2012-04-28,2,0,0,0,0
"5942","2011-2012","Suffolk",2012-04-28,11,0,0,0,0
"5943","2011-2012","Sullivan",2012-04-28,0,0,0,0,0
"5944","2011-2012","Tioga",2012-04-28,0,0,0,0,0
"5945","2011-2012","Tompkins",2012-04-28,5,0,0,0,0
"5946","2011-2012","Ulster",2012-04-28,0,0,0,0,0
"5947","2011-2012","Warren",2012-04-28,2,0,0,0,0
"5948","2011-2012","Washington",2012-04-28,5,0,0,0,0
"5949","2011-2012","Wayne",2012-04-28,3,0,0,0,0
"5950","2011-2012","Westchester",2012-04-28,15,0,0,0,0
"5951","2011-2012","Wyoming",2012-04-28,0,0,0,0,0
"5952","2011-2012","Yates",2012-04-28,0,0,0,0,0
"5953","2011-2012","Albany",2012-05-05,3,0,0,0,0
"5954","2011-2012","Allegany",2012-05-05,0,0,0,0,0
"5955","2011-2012","Bronx",2012-05-05,14,0,0,0,0
"5956","2011-2012","Broome",2012-05-05,0,0,0,0,0
"5957","2011-2012","Cattaraugus",2012-05-05,2,0,0,0,0
"5958","2011-2012","Cayuga",2012-05-05,1,0,0,0,0
"5959","2011-2012","Chautauqua",2012-05-05,1,0,0,0,0
"5960","2011-2012","Chemung",2012-05-05,0,0,0,0,0
"5961","2011-2012","Chenango",2012-05-05,1,0,0,0,0
"5962","2011-2012","Clinton",2012-05-05,1,0,0,0,0
"5963","2011-2012","Columbia",2012-05-05,1,0,0,0,0
"5964","2011-2012","Cortland",2012-05-05,1,0,0,0,0
"5965","2011-2012","Delaware",2012-05-05,0,0,0,0,0
"5966","2011-2012","Dutchess",2012-05-05,3,0,0,0,0
"5967","2011-2012","Erie",2012-05-05,10,0,0,0,0
"5968","2011-2012","Essex",2012-05-05,0,0,0,0,0
"5969","2011-2012","Franklin",2012-05-05,2,0,0,0,0
"5970","2011-2012","Fulton",2012-05-05,0,0,0,0,0
"5971","2011-2012","Genesee",2012-05-05,1,0,0,0,0
"5972","2011-2012","Greene",2012-05-05,0,0,0,0,0
"5973","2011-2012","Hamilton",2012-05-05,0,0,0,0,0
"5974","2011-2012","Herkimer",2012-05-05,1,0,0,0,0
"5975","2011-2012","Jefferson",2012-05-05,2,0,0,0,0
"5976","2011-2012","Kings",2012-05-05,17,0,0,0,0
"5977","2011-2012","Lewis",2012-05-05,0,0,0,0,0
"5978","2011-2012","Livingston",2012-05-05,0,0,0,0,0
"5979","2011-2012","Madison",2012-05-05,0,0,0,0,0
"5980","2011-2012","Monroe",2012-05-05,19,0,0,0,0
"5981","2011-2012","Montgomery",2012-05-05,0,0,0,0,0
"5982","2011-2012","Nassau",2012-05-05,17,0,0,0,0
"5983","2011-2012","New york",2012-05-05,17,0,0,0,0
"5984","2011-2012","Niagara",2012-05-05,1,0,0,0,0
"5985","2011-2012","Oneida",2012-05-05,7,0,0,0,0
"5986","2011-2012","Onondaga",2012-05-05,8,0,0,0,0
"5987","2011-2012","Ontario",2012-05-05,19,0,0,0,0
"5988","2011-2012","Orange",2012-05-05,3,0,0,0,0
"5989","2011-2012","Orleans",2012-05-05,4,0,0,0,0
"5990","2011-2012","Oswego",2012-05-05,9,0,0,0,0
"5991","2011-2012","Otsego",2012-05-05,0,0,0,0,0
"5992","2011-2012","Putnam",2012-05-05,2,0,0,0,0
"5993","2011-2012","Queens",2012-05-05,25,0,0,0,0
"5994","2011-2012","Rensselaer",2012-05-05,4,0,0,0,0
"5995","2011-2012","Richmond",2012-05-05,2,0,0,0,0
"5996","2011-2012","Rockland",2012-05-05,0,0,0,0,0
"5997","2011-2012","Saratoga",2012-05-05,9,0,0,0,0
"5998","2011-2012","Schenectady",2012-05-05,4,0,0,0,0
"5999","2011-2012","Schoharie",2012-05-05,0,0,0,0,0
"6000","2011-2012","Schuyler",2012-05-05,0,0,0,0,0
"6001","2011-2012","Seneca",2012-05-05,0,0,0,0,0
"6003","2011-2012","Steuben",2012-05-05,1,0,0,0,0
"6002","2011-2012","St lawrence",2012-05-05,4,0,0,0,0
"6004","2011-2012","Suffolk",2012-05-05,17,0,0,0,0
"6005","2011-2012","Sullivan",2012-05-05,1,0,0,0,0
"6006","2011-2012","Tioga",2012-05-05,0,0,0,0,0
"6007","2011-2012","Tompkins",2012-05-05,1,0,0,0,0
"6008","2011-2012","Ulster",2012-05-05,0,0,0,0,0
"6009","2011-2012","Warren",2012-05-05,5,0,0,0,0
"6010","2011-2012","Washington",2012-05-05,8,0,0,0,0
"6011","2011-2012","Wayne",2012-05-05,1,0,0,0,0
"6012","2011-2012","Westchester",2012-05-05,9,0,0,0,0
"6013","2011-2012","Wyoming",2012-05-05,0,0,0,0,0
"6014","2011-2012","Yates",2012-05-05,0,0,0,0,0
"6015","2011-2012","Albany",2012-05-12,2,0,0,0,0
"6016","2011-2012","Allegany",2012-05-12,0,0,0,0,0
"6017","2011-2012","Bronx",2012-05-12,33,0,0,0,0
"6018","2011-2012","Broome",2012-05-12,1,0,0,0,0
"6019","2011-2012","Cattaraugus",2012-05-12,0,0,0,0,0
"6020","2011-2012","Cayuga",2012-05-12,0,0,0,0,0
"6021","2011-2012","Chautauqua",2012-05-12,2,0,0,0,0
"6022","2011-2012","Chemung",2012-05-12,0,0,0,0,0
"6023","2011-2012","Chenango",2012-05-12,2,0,0,0,0
"6024","2011-2012","Clinton",2012-05-12,0,0,0,0,0
"6025","2011-2012","Columbia",2012-05-12,2,0,0,0,0
"6026","2011-2012","Cortland",2012-05-12,1,0,0,0,0
"6027","2011-2012","Delaware",2012-05-12,1,0,0,0,0
"6028","2011-2012","Dutchess",2012-05-12,4,0,0,0,0
"6029","2011-2012","Erie",2012-05-12,21,0,0,0,0
"6030","2011-2012","Essex",2012-05-12,0,0,0,0,0
"6031","2011-2012","Franklin",2012-05-12,2,0,0,0,0
"6032","2011-2012","Fulton",2012-05-12,0,0,0,0,0
"6033","2011-2012","Genesee",2012-05-12,0,0,0,0,0
"6034","2011-2012","Greene",2012-05-12,0,0,0,0,0
"6035","2011-2012","Hamilton",2012-05-12,0,0,0,0,0
"6036","2011-2012","Herkimer",2012-05-12,0,0,0,0,0
"6037","2011-2012","Jefferson",2012-05-12,1,0,0,0,0
"6038","2011-2012","Kings",2012-05-12,15,0,0,0,0
"6039","2011-2012","Lewis",2012-05-12,1,0,0,0,0
"6040","2011-2012","Livingston",2012-05-12,1,0,0,0,0
"6041","2011-2012","Madison",2012-05-12,2,0,0,0,0
"6042","2011-2012","Monroe",2012-05-12,27,0,0,0,0
"6043","2011-2012","Montgomery",2012-05-12,0,0,0,0,0
"6044","2011-2012","Nassau",2012-05-12,14,0,0,0,0
"6045","2011-2012","New york",2012-05-12,12,0,0,0,0
"6046","2011-2012","Niagara",2012-05-12,0,0,0,0,0
"6047","2011-2012","Oneida",2012-05-12,10,0,0,0,0
"6048","2011-2012","Onondaga",2012-05-12,16,0,0,0,0
"6049","2011-2012","Ontario",2012-05-12,16,0,0,0,0
"6050","2011-2012","Orange",2012-05-12,1,0,0,0,0
"6051","2011-2012","Orleans",2012-05-12,3,0,0,0,0
"6052","2011-2012","Oswego",2012-05-12,6,0,0,0,0
"6053","2011-2012","Otsego",2012-05-12,0,0,0,0,0
"6054","2011-2012","Putnam",2012-05-12,0,0,0,0,0
"6055","2011-2012","Queens",2012-05-12,17,0,0,0,0
"6056","2011-2012","Rensselaer",2012-05-12,0,0,0,0,0
"6057","2011-2012","Richmond",2012-05-12,5,0,0,0,0
"6058","2011-2012","Rockland",2012-05-12,0,0,0,0,0
"6059","2011-2012","Saratoga",2012-05-12,4,0,0,0,0
"6060","2011-2012","Schenectady",2012-05-12,4,0,0,0,0
"6061","2011-2012","Schoharie",2012-05-12,0,0,0,0,0
"6062","2011-2012","Schuyler",2012-05-12,0,0,0,0,0
"6063","2011-2012","Seneca",2012-05-12,0,0,0,0,0
"6065","2011-2012","Steuben",2012-05-12,3,0,0,0,0
"6064","2011-2012","St lawrence",2012-05-12,0,0,0,0,0
"6066","2011-2012","Suffolk",2012-05-12,10,0,0,0,0
"6067","2011-2012","Sullivan",2012-05-12,1,0,0,0,0
"6068","2011-2012","Tioga",2012-05-12,0,0,0,0,0
"6069","2011-2012","Tompkins",2012-05-12,0,0,0,0,0
"6070","2011-2012","Ulster",2012-05-12,1,0,0,0,0
"6071","2011-2012","Warren",2012-05-12,11,0,0,0,0
"6072","2011-2012","Washington",2012-05-12,7,0,0,0,0
"6073","2011-2012","Wayne",2012-05-12,4,0,0,0,0
"6074","2011-2012","Westchester",2012-05-12,7,0,0,0,0
"6075","2011-2012","Wyoming",2012-05-12,0,0,0,0,0
"6076","2011-2012","Yates",2012-05-12,0,0,0,0,0
"6077","2011-2012","Albany",2012-05-19,4,0,0,0,0
"6078","2011-2012","Allegany",2012-05-19,0,0,0,0,0
"6079","2011-2012","Bronx",2012-05-19,10,0,0,0,0
"6080","2011-2012","Broome",2012-05-19,0,0,0,0,0
"6081","2011-2012","Cattaraugus",2012-05-19,0,0,0,0,0
"6082","2011-2012","Cayuga",2012-05-19,0,0,0,0,0
"6083","2011-2012","Chautauqua",2012-05-19,1,0,0,0,0
"6084","2011-2012","Chemung",2012-05-19,0,0,0,0,0
"6085","2011-2012","Chenango",2012-05-19,1,0,0,0,0
"6086","2011-2012","Clinton",2012-05-19,1,0,0,0,0
"6087","2011-2012","Columbia",2012-05-19,3,0,0,0,0
"6088","2011-2012","Cortland",2012-05-19,0,0,0,0,0
"6089","2011-2012","Delaware",2012-05-19,0,0,0,0,0
"6090","2011-2012","Dutchess",2012-05-19,4,0,0,0,0
"6091","2011-2012","Erie",2012-05-19,8,0,0,0,0
"6092","2011-2012","Essex",2012-05-19,0,0,0,0,0
"6093","2011-2012","Franklin",2012-05-19,2,0,0,0,0
"6094","2011-2012","Fulton",2012-05-19,3,0,0,0,0
"6095","2011-2012","Genesee",2012-05-19,1,0,0,0,0
"6096","2011-2012","Greene",2012-05-19,0,0,0,0,0
"6097","2011-2012","Hamilton",2012-05-19,0,0,0,0,0
"6098","2011-2012","Herkimer",2012-05-19,0,0,0,0,0
"6099","2011-2012","Jefferson",2012-05-19,1,0,0,0,0
"6100","2011-2012","Kings",2012-05-19,9,0,0,0,0
"6101","2011-2012","Lewis",2012-05-19,3,0,0,0,0
"6102","2011-2012","Livingston",2012-05-19,0,0,0,0,0
"6103","2011-2012","Madison",2012-05-19,0,0,0,0,0
"6104","2011-2012","Monroe",2012-05-19,13,0,0,0,0
"6105","2011-2012","Montgomery",2012-05-19,0,0,0,0,0
"6106","2011-2012","Nassau",2012-05-19,17,0,0,0,0
"6107","2011-2012","New york",2012-05-19,8,0,0,0,0
"6108","2011-2012","Niagara",2012-05-19,0,0,0,0,0
"6109","2011-2012","Oneida",2012-05-19,11,0,0,0,0
"6110","2011-2012","Onondaga",2012-05-19,12,0,0,0,0
"6111","2011-2012","Ontario",2012-05-19,5,0,0,0,0
"6112","2011-2012","Orange",2012-05-19,1,0,0,0,0
"6113","2011-2012","Orleans",2012-05-19,5,0,0,0,0
"6114","2011-2012","Oswego",2012-05-19,4,0,0,0,0
"6115","2011-2012","Otsego",2012-05-19,0,0,0,0,0
"6116","2011-2012","Putnam",2012-05-19,0,0,0,0,0
"6117","2011-2012","Queens",2012-05-19,11,0,0,0,0
"6118","2011-2012","Rensselaer",2012-05-19,2,0,0,0,0
"6119","2011-2012","Richmond",2012-05-19,2,0,0,0,0
"6120","2011-2012","Rockland",2012-05-19,2,0,0,0,0
"6121","2011-2012","Saratoga",2012-05-19,4,0,0,0,0
"6122","2011-2012","Schenectady",2012-05-19,2,0,0,0,0
"6123","2011-2012","Schoharie",2012-05-19,0,0,0,0,0
"6124","2011-2012","Schuyler",2012-05-19,0,0,0,0,0
"6125","2011-2012","Seneca",2012-05-19,0,0,0,0,0
"6127","2011-2012","Steuben",2012-05-19,2,0,0,0,0
"6126","2011-2012","St lawrence",2012-05-19,1,0,0,0,0
"6128","2011-2012","Suffolk",2012-05-19,10,0,0,0,0
"6129","2011-2012","Sullivan",2012-05-19,1,0,0,0,0
"6130","2011-2012","Tioga",2012-05-19,0,0,0,0,0
"6131","2011-2012","Tompkins",2012-05-19,1,0,0,0,0
"6132","2011-2012","Ulster",2012-05-19,0,0,0,0,0
"6133","2011-2012","Warren",2012-05-19,7,0,0,0,0
"6134","2011-2012","Washington",2012-05-19,1,0,0,0,0
"6135","2011-2012","Wayne",2012-05-19,2,0,0,0,0
"6136","2011-2012","Westchester",2012-05-19,7,0,0,0,0
"6137","2011-2012","Wyoming",2012-05-19,0,0,0,0,0
"6138","2011-2012","Yates",2012-05-19,0,0,0,0,0
"174","2011-2012","Albany",2012-05-26,0,0,0,0,0
"173100","2011-2012","Allegany",2012-05-26,0,0,0,0,0
"139101","2011-2012","Bronx",2012-05-26,0,0,0,0,0
"173102","2011-2012","Broome",2012-05-26,0,0,0,0,0
"173103","2011-2012","Cattaraugus",2012-05-26,0,0,0,0,0
"173104","2011-2012","Cayuga",2012-05-26,0,0,0,0,0
"173105","2011-2012","Chautauqua",2012-05-26,0,0,0,0,0
"173106","2011-2012","Chemung",2012-05-26,0,0,0,0,0
"173107","2011-2012","Chenango",2012-05-26,0,0,0,0,0
"173108","2011-2012","Clinton",2012-05-26,0,0,0,0,0
"174109","2011-2012","Columbia",2012-05-26,0,0,0,0,0
"174110","2011-2012","Cortland",2012-05-26,0,0,0,0,0
"174111","2011-2012","Delaware",2012-05-26,0,0,0,0,0
"174112","2011-2012","Dutchess",2012-05-26,0,0,0,0,0
"174113","2011-2012","Erie",2012-05-26,0,0,0,0,0
"174114","2011-2012","Essex",2012-05-26,0,0,0,0,0
"174115","2011-2012","Franklin",2012-05-26,0,0,0,0,0
"174116","2011-2012","Fulton",2012-05-26,0,0,0,0,0
"174117","2011-2012","Genesee",2012-05-26,0,0,0,0,0
"173118","2011-2012","Greene",2012-05-26,0,0,0,0,0
"173119","2011-2012","Hamilton",2012-05-26,0,0,0,0,0
"173120","2011-2012","Herkimer",2012-05-26,0,0,0,0,0
"173121","2011-2012","Jefferson",2012-05-26,0,0,0,0,0
"138122","2011-2012","Kings",2012-05-26,0,0,0,0,0
"142123","2011-2012","Lewis",2012-05-26,0,0,0,0,0
"138124","2011-2012","Livingston",2012-05-26,0,0,0,0,0
"138125","2011-2012","Madison",2012-05-26,0,0,0,0,0
"138126","2011-2012","Monroe",2012-05-26,0,0,0,0,0
"138127","2011-2012","Montgomery",2012-05-26,0,0,0,0,0
"138128","2011-2012","Nassau",2012-05-26,0,0,0,0,0
"138129","2011-2012","New york",2012-05-26,0,0,0,0,0
"138130","2011-2012","Niagara",2012-05-26,0,0,0,0,0
"138131","2011-2012","Oneida",2012-05-26,0,0,0,0,0
"138132","2011-2012","Onondaga",2012-05-26,0,0,0,0,0
"138133","2011-2012","Ontario",2012-05-26,0,0,0,0,0
"138134","2011-2012","Orange",2012-05-26,0,0,0,0,0
"138135","2011-2012","Orleans",2012-05-26,0,0,0,0,0
"138136","2011-2012","Oswego",2012-05-26,0,0,0,0,0
"138137","2011-2012","Otsego",2012-05-26,0,0,0,0,0
"138138","2011-2012","Putnam",2012-05-26,0,0,0,0,0
"138139","2011-2012","Queens",2012-05-26,0,0,0,0,0
"138140","2011-2012","Rensselaer",2012-05-26,0,0,0,0,0
"138141","2011-2012","Richmond",2012-05-26,0,0,0,0,0
"138142","2011-2012","Rockland",2012-05-26,0,0,0,0,0
"138143","2011-2012","Saratoga",2012-05-26,0,0,0,0,0
"138144","2011-2012","Schenectady",2012-05-26,0,0,0,0,0
"138145","2011-2012","Schoharie",2012-05-26,0,0,0,0,0
"139146","2011-2012","Schuyler",2012-05-26,0,0,0,0,0
"139147","2011-2012","Seneca",2012-05-26,0,0,0,0,0
"139148","2011-2012","Steuben",2012-05-26,0,0,0,0,0
"139149","2011-2012","St lawrence",2012-05-26,0,0,0,0,0
"139150","2011-2012","Suffolk",2012-05-26,0,0,0,0,0
"139151","2011-2012","Sullivan",2012-05-26,0,0,0,0,0
"139152","2011-2012","Tioga",2012-05-26,0,0,0,0,0
"139153","2011-2012","Tompkins",2012-05-26,0,0,0,0,0
"139154","2011-2012","Ulster",2012-05-26,0,0,0,0,0
"139155","2011-2012","Warren",2012-05-26,0,0,0,0,0
"139156","2011-2012","Washington",2012-05-26,0,0,0,0,0
"139157","2011-2012","Wayne",2012-05-26,0,0,0,0,0
"139158","2011-2012","Westchester",2012-05-26,0,0,0,0,0
"139159","2011-2012","Wyoming",2012-05-26,0,0,0,0,0
"139160","2011-2012","Yates",2012-05-26,0,0,0,0,0
"175","2011-2012","Albany",2012-06-02,0,0,0,0,0
"174100","2011-2012","Allegany",2012-06-02,0,0,0,0,0
"140101","2011-2012","Bronx",2012-06-02,0,0,0,0,0
"174102","2011-2012","Broome",2012-06-02,0,0,0,0,0
"174103","2011-2012","Cattaraugus",2012-06-02,0,0,0,0,0
"174104","2011-2012","Cayuga",2012-06-02,0,0,0,0,0
"174105","2011-2012","Chautauqua",2012-06-02,0,0,0,0,0
"174106","2011-2012","Chemung",2012-06-02,0,0,0,0,0
"174107","2011-2012","Chenango",2012-06-02,0,0,0,0,0
"174108","2011-2012","Clinton",2012-06-02,0,0,0,0,0
"175109","2011-2012","Columbia",2012-06-02,0,0,0,0,0
"175110","2011-2012","Cortland",2012-06-02,0,0,0,0,0
"175111","2011-2012","Delaware",2012-06-02,0,0,0,0,0
"175112","2011-2012","Dutchess",2012-06-02,0,0,0,0,0
"175113","2011-2012","Erie",2012-06-02,0,0,0,0,0
"175114","2011-2012","Essex",2012-06-02,0,0,0,0,0
"175115","2011-2012","Franklin",2012-06-02,0,0,0,0,0
"175116","2011-2012","Fulton",2012-06-02,0,0,0,0,0
"175117","2011-2012","Genesee",2012-06-02,0,0,0,0,0
"174118","2011-2012","Greene",2012-06-02,0,0,0,0,0
"174119","2011-2012","Hamilton",2012-06-02,0,0,0,0,0
"174120","2011-2012","Herkimer",2012-06-02,0,0,0,0,0
"174121","2011-2012","Jefferson",2012-06-02,0,0,0,0,0
"139122","2011-2012","Kings",2012-06-02,0,0,0,0,0
"143123","2011-2012","Lewis",2012-06-02,0,0,0,0,0
"139124","2011-2012","Livingston",2012-06-02,0,0,0,0,0
"139125","2011-2012","Madison",2012-06-02,0,0,0,0,0
"139126","2011-2012","Monroe",2012-06-02,0,0,0,0,0
"139127","2011-2012","Montgomery",2012-06-02,0,0,0,0,0
"139128","2011-2012","Nassau",2012-06-02,0,0,0,0,0
"139129","2011-2012","New york",2012-06-02,0,0,0,0,0
"139130","2011-2012","Niagara",2012-06-02,0,0,0,0,0
"139131","2011-2012","Oneida",2012-06-02,0,0,0,0,0
"139132","2011-2012","Onondaga",2012-06-02,0,0,0,0,0
"139133","2011-2012","Ontario",2012-06-02,0,0,0,0,0
"139134","2011-2012","Orange",2012-06-02,0,0,0,0,0
"139135","2011-2012","Orleans",2012-06-02,0,0,0,0,0
"139136","2011-2012","Oswego",2012-06-02,0,0,0,0,0
"139137","2011-2012","Otsego",2012-06-02,0,0,0,0,0
"139138","2011-2012","Putnam",2012-06-02,0,0,0,0,0
"139139","2011-2012","Queens",2012-06-02,0,0,0,0,0
"139140","2011-2012","Rensselaer",2012-06-02,0,0,0,0,0
"139141","2011-2012","Richmond",2012-06-02,0,0,0,0,0
"139142","2011-2012","Rockland",2012-06-02,0,0,0,0,0
"139143","2011-2012","Saratoga",2012-06-02,0,0,0,0,0
"139144","2011-2012","Schenectady",2012-06-02,0,0,0,0,0
"139145","2011-2012","Schoharie",2012-06-02,0,0,0,0,0
"140146","2011-2012","Schuyler",2012-06-02,0,0,0,0,0
"140147","2011-2012","Seneca",2012-06-02,0,0,0,0,0
"140148","2011-2012","Steuben",2012-06-02,0,0,0,0,0
"140149","2011-2012","St lawrence",2012-06-02,0,0,0,0,0
"140150","2011-2012","Suffolk",2012-06-02,0,0,0,0,0
"140151","2011-2012","Sullivan",2012-06-02,0,0,0,0,0
"140152","2011-2012","Tioga",2012-06-02,0,0,0,0,0
"140153","2011-2012","Tompkins",2012-06-02,0,0,0,0,0
"140154","2011-2012","Ulster",2012-06-02,0,0,0,0,0
"140155","2011-2012","Warren",2012-06-02,0,0,0,0,0
"140156","2011-2012","Washington",2012-06-02,0,0,0,0,0
"140157","2011-2012","Wayne",2012-06-02,0,0,0,0,0
"140158","2011-2012","Westchester",2012-06-02,0,0,0,0,0
"140159","2011-2012","Wyoming",2012-06-02,0,0,0,0,0
"140160","2011-2012","Yates",2012-06-02,0,0,0,0,0
"176","2011-2012","Albany",2012-06-09,0,0,0,0,0
"175100","2011-2012","Allegany",2012-06-09,0,0,0,0,0
"141101","2011-2012","Bronx",2012-06-09,0,0,0,0,0
"175102","2011-2012","Broome",2012-06-09,0,0,0,0,0
"175103","2011-2012","Cattaraugus",2012-06-09,0,0,0,0,0
"175104","2011-2012","Cayuga",2012-06-09,0,0,0,0,0
"175105","2011-2012","Chautauqua",2012-06-09,0,0,0,0,0
"175106","2011-2012","Chemung",2012-06-09,0,0,0,0,0
"175107","2011-2012","Chenango",2012-06-09,0,0,0,0,0
"175108","2011-2012","Clinton",2012-06-09,0,0,0,0,0
"176109","2011-2012","Columbia",2012-06-09,0,0,0,0,0
"176110","2011-2012","Cortland",2012-06-09,0,0,0,0,0
"176111","2011-2012","Delaware",2012-06-09,0,0,0,0,0
"176112","2011-2012","Dutchess",2012-06-09,0,0,0,0,0
"176113","2011-2012","Erie",2012-06-09,0,0,0,0,0
"176114","2011-2012","Essex",2012-06-09,0,0,0,0,0
"176115","2011-2012","Franklin",2012-06-09,0,0,0,0,0
"176116","2011-2012","Fulton",2012-06-09,0,0,0,0,0
"176117","2011-2012","Genesee",2012-06-09,0,0,0,0,0
"175118","2011-2012","Greene",2012-06-09,0,0,0,0,0
"175119","2011-2012","Hamilton",2012-06-09,0,0,0,0,0
"175120","2011-2012","Herkimer",2012-06-09,0,0,0,0,0
"175121","2011-2012","Jefferson",2012-06-09,0,0,0,0,0
"140122","2011-2012","Kings",2012-06-09,0,0,0,0,0
"144123","2011-2012","Lewis",2012-06-09,0,0,0,0,0
"140124","2011-2012","Livingston",2012-06-09,0,0,0,0,0
"140125","2011-2012","Madison",2012-06-09,0,0,0,0,0
"140126","2011-2012","Monroe",2012-06-09,0,0,0,0,0
"140127","2011-2012","Montgomery",2012-06-09,0,0,0,0,0
"140128","2011-2012","Nassau",2012-06-09,0,0,0,0,0
"140129","2011-2012","New york",2012-06-09,0,0,0,0,0
"140130","2011-2012","Niagara",2012-06-09,0,0,0,0,0
"140131","2011-2012","Oneida",2012-06-09,0,0,0,0,0
"140132","2011-2012","Onondaga",2012-06-09,0,0,0,0,0
"140133","2011-2012","Ontario",2012-06-09,0,0,0,0,0
"140134","2011-2012","Orange",2012-06-09,0,0,0,0,0
"140135","2011-2012","Orleans",2012-06-09,0,0,0,0,0
"140136","2011-2012","Oswego",2012-06-09,0,0,0,0,0
"140137","2011-2012","Otsego",2012-06-09,0,0,0,0,0
"140138","2011-2012","Putnam",2012-06-09,0,0,0,0,0
"140139","2011-2012","Queens",2012-06-09,0,0,0,0,0
"140140","2011-2012","Rensselaer",2012-06-09,0,0,0,0,0
"140141","2011-2012","Richmond",2012-06-09,0,0,0,0,0
"140142","2011-2012","Rockland",2012-06-09,0,0,0,0,0
"140143","2011-2012","Saratoga",2012-06-09,0,0,0,0,0
"140144","2011-2012","Schenectady",2012-06-09,0,0,0,0,0
"140145","2011-2012","Schoharie",2012-06-09,0,0,0,0,0
"141146","2011-2012","Schuyler",2012-06-09,0,0,0,0,0
"141147","2011-2012","Seneca",2012-06-09,0,0,0,0,0
"141148","2011-2012","Steuben",2012-06-09,0,0,0,0,0
"141149","2011-2012","St lawrence",2012-06-09,0,0,0,0,0
"141150","2011-2012","Suffolk",2012-06-09,0,0,0,0,0
"141151","2011-2012","Sullivan",2012-06-09,0,0,0,0,0
"141152","2011-2012","Tioga",2012-06-09,0,0,0,0,0
"141153","2011-2012","Tompkins",2012-06-09,0,0,0,0,0
"141154","2011-2012","Ulster",2012-06-09,0,0,0,0,0
"141155","2011-2012","Warren",2012-06-09,0,0,0,0,0
"141156","2011-2012","Washington",2012-06-09,0,0,0,0,0
"141157","2011-2012","Wayne",2012-06-09,0,0,0,0,0
"141158","2011-2012","Westchester",2012-06-09,0,0,0,0,0
"141159","2011-2012","Wyoming",2012-06-09,0,0,0,0,0
"141160","2011-2012","Yates",2012-06-09,0,0,0,0,0
"177","2011-2012","Albany",2012-06-16,0,0,0,0,0
"176100","2011-2012","Allegany",2012-06-16,0,0,0,0,0
"142101","2011-2012","Bronx",2012-06-16,0,0,0,0,0
"176102","2011-2012","Broome",2012-06-16,0,0,0,0,0
"176103","2011-2012","Cattaraugus",2012-06-16,0,0,0,0,0
"176104","2011-2012","Cayuga",2012-06-16,0,0,0,0,0
"176105","2011-2012","Chautauqua",2012-06-16,0,0,0,0,0
"176106","2011-2012","Chemung",2012-06-16,0,0,0,0,0
"176107","2011-2012","Chenango",2012-06-16,0,0,0,0,0
"176108","2011-2012","Clinton",2012-06-16,0,0,0,0,0
"17754","2011-2012","Columbia",2012-06-16,0,0,0,0,0
"17757","2011-2012","Cortland",2012-06-16,0,0,0,0,0
"17760","2011-2012","Delaware",2012-06-16,0,0,0,0,0
"17763","2011-2012","Dutchess",2012-06-16,0,0,0,0,0
"17766","2011-2012","Erie",2012-06-16,0,0,0,0,0
"17769","2011-2012","Essex",2012-06-16,0,0,0,0,0
"17772","2011-2012","Franklin",2012-06-16,0,0,0,0,0
"17775","2011-2012","Fulton",2012-06-16,0,0,0,0,0
"17778","2011-2012","Genesee",2012-06-16,0,0,0,0,0
"176118","2011-2012","Greene",2012-06-16,0,0,0,0,0
"176119","2011-2012","Hamilton",2012-06-16,0,0,0,0,0
"176120","2011-2012","Herkimer",2012-06-16,0,0,0,0,0
"176121","2011-2012","Jefferson",2012-06-16,0,0,0,0,0
"141122","2011-2012","Kings",2012-06-16,0,0,0,0,0
"145123","2011-2012","Lewis",2012-06-16,0,0,0,0,0
"141124","2011-2012","Livingston",2012-06-16,0,0,0,0,0
"141125","2011-2012","Madison",2012-06-16,0,0,0,0,0
"141126","2011-2012","Monroe",2012-06-16,0,0,0,0,0
"141127","2011-2012","Montgomery",2012-06-16,0,0,0,0,0
"141128","2011-2012","Nassau",2012-06-16,0,0,0,0,0
"141129","2011-2012","New york",2012-06-16,0,0,0,0,0
"141130","2011-2012","Niagara",2012-06-16,0,0,0,0,0
