"","County","ARIMA","HW","Time_Period"
"1",NA,NA,NA,NA
"2","Albany","4.81861228266449e-05","-0.200222491522716","1"
"3","Albany","6.03347872464074e-05","-0.284010449829943","2"
"4","Albany","-0.0629960059513107","-0.19172025633568","3"
"5","Albany","0.186567405322096","-0.423125811563442","4"
"6","Albany","-0.0347140508778852","0.334682064735741","5"
"7","Albany","-0.0345393540366143","0.686748596354605","6"
"8","Albany","-0.0347269249590897","-0.0872349511776753","7"
"9","Albany","0.116996683179729","0.75337786313258","8"
"10","Albany","1.16675038176007","1.27918090267168","9"
"11","Albany","1.30582445449685","2.76401982295751","10"
"12","Albany","1.24157134940163","5.44653114104453","11"
"13","Albany","6.42351695916666","8.30413450417606","12"
"14","Albany","8.02596299081058","8.86331873968009","13"
"15","Albany","11.0942369639119","10.0457823799191","14"
"16","Albany","28.6626270770187","17.7656530545292","15"
"17","Albany","25.1015915239858","7.61368953812703","16"
"18","Albany","27.8316569308218","8.93760472206873","17"
"19","Albany","27.639686418215","4.04901045862427","18"
"20","Albany","32.0349389541361","8.64693756323322","19"
"21","Albany","30.0790707927634","5.52280042523081","20"
"22","Albany","26.8234995143371","6.61422046738323","21"
"23","Albany","17.6564959709855","9.34466450615479","22"
"24","Albany","7.11263228824196","6.4307254382225","23"
"25","Albany","8.58957034592863","6.19607411599089","24"
"26","Albany","5.74773097742739","7.10683657075722","25"
"27","Albany","6.86446347103906","0.210012960959752","26"
"28","Albany","6.20131779181848","-2.84032990348368","27"
"29","Albany","5.54709086665015","-5.01469374722195","28"
"30","Albany","2.57690273403644","-4.33121277747198","29"
"31","Albany","4.59000845217719","-0.955270630949827","30"
"32","Albany","3.73729490528006","-1.57307489613059","31"
"33","Albany","1.96366622202599","-0.120121584340714","32"
"34","Albany","0.724204984333347","0.149862513076437","33"
"35","Albany","4.77224308763624e-05","1.61750470125025","34"
"36","Albany","4.77215233938844e-05","2.35283555255044","35"
"37","Albany","4.77254544661512e-05","2.48365055548839","36"
"38","Albany","4.77248891660063e-05","2.47021875415292","37"
"39","Albany","4.77298125207355e-05","2.40224653026307","38"
"40","Albany","4.77264074788122e-05","2.28793480874812","39"
"41","Albany","4.77303171114323e-05","2.13888857497285","40"
"42","Albany","4.77131154915525e-05","1.96606662437013","41"
"43","Albany","4.77094122353639e-05","1.79213068234952","42"
"44","Albany","4.76824141465895e-05","1.64459070973588","43"
"45","Albany","4.76801954409014e-05","1.55207303886204","44"
"46","Albany","4.76424210334783e-05","1.47996734570678","45"
"47","Albany","4.77142716299339e-05","1.38065978149291","46"
"48","Albany","4.77467738966658e-05","1.28192979479586","47"
"49","Albany","4.78742174955853e-05","1.10940251523397","48"
"50","Albany","4.79766465327758e-05","0.900364288304986","49"
"51","Albany","4.83285017031343e-05","0.751616452342409","50"
