"","County","Period","Date","Incidents","ARIMA","Error_ARIMA","HW","Error_HW","Latitude","Longitude"
"3522","Chautauqua","2015-2016",2016-05-28,0,0,0,0,0,42.3042159,-79.4075949
"3523","Chautauqua","2018-2019",2019-04-06,75,3,-72,3,-72,42.3042159,-79.4075949
"3524","Chautauqua","2011-2012",2012-09-22,0,0,0,0,0,42.3042159,-79.4075949
"3525","Chautauqua","2015-2016",2016-06-11,0,0,0,0,0,42.3042159,-79.4075949
"3526","Chautauqua","2013-2014",2014-01-11,25,0,0,0,0,42.3042159,-79.4075949
"3527","Chautauqua","2009-2010",2010-08-07,0,0,0,0,0,42.3042159,-79.4075949
"3528","Chautauqua","2012-2013",2013-06-01,0,0,0,0,0,42.3042159,-79.4075949
"3529","Chautauqua","2015-2016",2016-03-26,24,0,0,0,0,42.3042159,-79.4075949
"3530","Chautauqua","2017-2018",2018-02-10,179,0,0,0,0,42.3042159,-79.4075949
"3531","Chautauqua","2013-2014",2014-05-24,0,0,0,0,0,42.3042159,-79.4075949
"3532","Chautauqua","2009-2010",2010-09-04,0,0,0,0,0,42.3042159,-79.4075949
"3533","Chautauqua","2017-2018",2018-02-24,158,0,0,0,0,42.3042159,-79.4075949
"3534","Chautauqua","2013-2014",2014-06-07,0,0,0,0,0,42.3042159,-79.4075949
"3535","Chautauqua","2009-2010",2009-11-07,91,0,0,0,0,42.3042159,-79.4075949
"3536","Chautauqua","2016-2017",2017-04-15,15,0,0,0,0,42.3042159,-79.4075949
"3537","Chautauqua","2015-2016",2016-05-07,9,0,0,0,0,42.3042159,-79.4075949
"3538","Chautauqua","2018-2019",2019-03-16,120,5,-115,33,-87,42.3042159,-79.4075949
"3539","Chautauqua","2011-2012",2012-09-01,0,0,0,0,0,42.3042159,-79.4075949
"3540","Chautauqua","2015-2016",2016-05-21,10,0,0,0,0,42.3042159,-79.4075949
"3541","Chautauqua","2018-2019",2019-03-30,71,4,-67,3,-68,42.3042159,-79.4075949
"3542","Chautauqua","2011-2012",2012-09-15,0,0,0,0,0,42.3042159,-79.4075949
"3543","Chautauqua","2015-2016",2016-06-04,0,0,0,0,0,42.3042159,-79.4075949
"3544","Chautauqua","2018-2019",2019-04-13,26,1,-25,4,-22,42.3042159,-79.4075949
"3545","Chautauqua","2010-2011",2010-11-27,1,0,0,0,0,42.3042159,-79.4075949
"3546","Chautauqua","2013-2014",2014-08-16,0,0,0,0,0,42.3042159,-79.4075949
"3547","Chautauqua","2016-2017",2017-06-10,0,0,0,0,0,42.3042159,-79.4075949
"3548","Chautauqua","2012-2013",2013-09-21,0,0,0,0,0,42.3042159,-79.4075949
"3549","Chautauqua","2015-2016",2016-07-02,0,0,0,0,0,42.3042159,-79.4075949
"3550","Chautauqua","2016-2017",2017-06-24,0,0,0,0,0,42.3042159,-79.4075949
"3551","Chautauqua","2013-2014",2013-10-05,0,0,0,0,0,42.3042159,-79.4075949
"3552","Chautauqua","2013-2014",2014-09-13,0,0,0,0,0,42.3042159,-79.4075949
"3553","Chautauqua","2017-2018",2018-06-16,0,0,0,0,0,42.3042159,-79.4075949
"3554","Chautauqua","2009-2010",2010-02-13,0,0,0,0,0,42.3042159,-79.4075949
"3555","Chautauqua","2013-2014",2014-09-27,0,0,0,0,0,42.3042159,-79.4075949
"3556","Chautauqua","2017-2018",2018-06-30,0,0,0,0,0,42.3042159,-79.4075949
"3557","Chautauqua","2009-2010",2010-02-27,0,0,0,0,0,42.3042159,-79.4075949
"3558","Chautauqua","2011-2012",2012-01-14,0,0,0,0,0,42.3042159,-79.4075949
"3559","Chautauqua","2016-2017",2017-08-19,0,0,0,0,0,42.3042159,-79.4075949
"3560","Chautauqua","2012-2013",2013-01-05,47,0,0,0,0,42.3042159,-79.4075949
"3561","Chautauqua","2011-2012",2012-09-08,0,0,0,0,0,42.3042159,-79.4075949
"3562","Chautauqua","2011-2012",2012-01-28,0,0,0,0,0,42.3042159,-79.4075949
"3563","Chautauqua","2009-2010",2010-03-27,0,0,0,0,0,42.3042159,-79.4075949
"3564","Chautauqua","2012-2013",2013-01-19,43,0,0,0,0,42.3042159,-79.4075949
"3565","Chautauqua","2010-2011",2011-03-05,38,0,0,0,0,42.3042159,-79.4075949
"3566","Chautauqua","2018-2019",2019-04-20,17,1,-16,5,-12,42.3042159,-79.4075949
"3567","Chautauqua","2016-2017",2016-10-22,3,0,0,0,0,42.3042159,-79.4075949
"3568","Chautauqua","2014-2015",2014-12-20,0,0,0,0,0,42.3042159,-79.4075949
"3569","Chautauqua","2017-2018",2018-09-08,0,0,0,0,0,42.3042159,-79.4075949
"3570","Chautauqua","2017-2018",2017-10-14,0,0,0,0,0,42.3042159,-79.4075949
"3571","Chautauqua","2014-2015",2015-01-03,0,0,0,0,0,42.3042159,-79.4075949
"3572","Chautauqua","2016-2017",2017-07-01,0,0,0,0,0,42.3042159,-79.4075949
"3573","Chautauqua","2017-2018",2017-10-28,1,0,0,0,0,42.3042159,-79.4075949
"3574","Chautauqua","2013-2014",2014-02-22,30,0,0,0,0,42.3042159,-79.4075949
"3575","Chautauqua","2010-2011",2011-04-30,1,0,0,0,0,42.3042159,-79.4075949
"3576","Chautauqua","2018-2019",2018-10-20,0,0,0,0,0,42.3042159,-79.4075949
"3577","Chautauqua","2019-2020",2019-10-12,2,0,-2,6,4,42.3042159,-79.4075949
"3578","Chautauqua","2009-2010",2010-06-19,0,0,0,0,0,42.3042159,-79.4075949
"3579","Chautauqua","2018-2019",2018-11-03,0,0,0,0,0,42.3042159,-79.4075949
"3580","Chautauqua","2014-2015",2015-02-14,0,0,0,0,0,42.3042159,-79.4075949
"3581","Chautauqua","2016-2017",2017-08-26,0,0,0,0,0,42.3042159,-79.4075949
"3582","Chautauqua","2018-2019",2018-11-17,0,0,0,2,2,42.3042159,-79.4075949
"3583","Chautauqua","2014-2015",2015-02-28,0,0,0,0,0,42.3042159,-79.4075949
"3584","Chautauqua","2018-2019",2019-07-27,0,0,0,11,11,42.3042159,-79.4075949
"3585","Chautauqua","2015-2016",2015-11-07,0,0,0,0,0,42.3042159,-79.4075949
"3586","Chautauqua","2010-2011",2011-03-12,38,0,0,0,0,42.3042159,-79.4075949
"3587","Chautauqua","2009-2010",2010-04-17,0,0,0,0,0,42.3042159,-79.4075949
"3588","Chautauqua","2018-2019",2019-04-27,8,2,-6,7,-1,42.3042159,-79.4075949
"3589","Chautauqua","2009-2010",2010-08-14,0,0,0,0,0,42.3042159,-79.4075949
"3590","Chautauqua","2012-2013",2013-06-08,0,0,0,0,0,42.3042159,-79.4075949
"3591","Chautauqua","2015-2016",2016-04-02,26,0,0,0,0,42.3042159,-79.4075949
"3592","Chautauqua","2017-2018",2018-02-17,214,0,0,0,0,42.3042159,-79.4075949
"3593","Chautauqua","2013-2014",2014-05-31,0,0,0,0,0,42.3042159,-79.4075949
"3594","Chautauqua","2009-2010",2010-09-11,0,0,0,0,0,42.3042159,-79.4075949
"3595","Chautauqua","2017-2018",2018-03-03,83,0,0,0,0,42.3042159,-79.4075949
